AlphabetSize,TextSize,PatternSize,UniversalSymbolsAmount,Comparisons,TimeNs
4,10000,400,0,44063,1381453
4,10000,400,1,86563,2857097
4,10000,400,2,128913,5133759
4,10000,400,3,171390,6869522
4,10000,400,4,213829,7271841
4,10000,500,0,44289,1597598
4,10000,500,1,84479,2921698
4,10000,500,2,126984,4345419
4,10000,500,3,171813,5684588
4,10000,500,4,204365,6723266
4,10000,600,0,44968,1747208
4,10000,600,1,87380,2815611
4,10000,600,2,129886,5161632
4,10000,600,3,172355,5808948
4,10000,600,4,214641,7100585
4,10000,700,0,45204,1518995
4,10000,700,1,87569,2742313
4,10000,700,2,130061,4065088
4,10000,700,3,172637,5791157
4,10000,700,4,215026,6598573
4,10000,800,0,45583,1441557
4,10000,800,1,88017,2768688
4,10000,800,2,128039,4644630
4,10000,800,3,172919,5536548
4,10000,800,4,215474,6801136
4,10000,900,0,46057,1475913
4,10000,900,1,88495,2769462
4,10000,900,2,131041,4115958
4,10000,900,3,173464,5490012
4,10000,900,4,216006,6812667
4,10000,1000,0,46567,1494131
4,10000,1000,1,89007,2971779
4,10000,1000,2,131570,4162549
4,10000,1000,3,173846,5453934
4,10000,1000,4,216721,7100169
4,10000,1100,0,46768,1545122
4,10000,1100,1,89301,2813351
4,10000,1100,2,131760,4629065
4,10000,1100,3,174101,5507152
4,10000,1100,4,216809,6866095
4,10000,1200,0,47367,1508221
4,10000,1200,1,89802,2831167
4,10000,1200,2,132370,4359666
4,10000,1200,3,174759,6001783
4,10000,1200,4,217132,6897699
4,10000,1300,0,47597,1482504
4,10000,1300,1,90017,2854575
4,10000,1300,2,132596,4120781
4,10000,1300,3,174712,5525246
4,10000,1300,4,217568,8018420
4,10000,1400,0,48127,1525239
4,10000,1400,1,90586,3064110
4,10000,1400,2,133180,4125148
4,10000,1400,3,175802,5986798
4,10000,1400,4,218134,6899422
4,10000,1500,0,48525,1545431
4,10000,1500,1,90837,2844741
4,10000,1500,2,133492,4328893
4,10000,1500,3,175971,5417382
4,10000,1500,4,218110,6679079
4,10000,1600,0,48891,1745167
4,10000,1600,1,91445,2877040
4,10000,1600,2,133806,4418603
4,10000,1600,3,176155,5595644
4,10000,1600,4,218753,7889595
4,10000,1700,0,49262,1844372
4,10000,1700,1,89668,2759738
4,10000,1700,2,134350,4835033
4,10000,1700,3,173919,5911421
4,10000,1700,4,219084,8270417
4,10000,1800,0,49571,1579895
4,10000,1800,1,89594,3145387
4,10000,1800,2,132646,5064048
4,10000,1800,3,172071,6540073
4,10000,1800,4,217493,6855056
4,10000,1900,0,50047,1583817
4,10000,1900,1,92441,2935072
4,10000,1900,2,135013,4562002
4,10000,1900,3,177286,6840974
4,10000,1900,4,220035,7619640
4,10000,2000,0,50567,1615855
4,10000,2000,1,90785,2790298
4,10000,2000,2,131048,4063112
4,10000,2000,3,173611,6241664
4,10000,2000,4,220354,7410032
4,10000,2100,0,50807,1758725
4,10000,2100,1,93321,3040352
4,10000,2100,2,135726,4562212
4,10000,2100,3,178240,5905892
4,10000,2100,4,220484,6938588
4,10000,2200,0,51213,1625058
4,10000,2200,1,93653,2985870
4,10000,2200,2,135869,4325808
4,10000,2200,3,178388,5620065
4,10000,2200,4,220965,7016891
4,10000,2300,0,51653,1812050
4,10000,2300,1,94177,2982533
4,10000,2300,2,136620,4395597
4,10000,2300,3,179115,5680404
4,10000,2300,4,221553,7549006
4,10000,2400,0,52161,1684667
4,10000,2400,1,94444,3325046
4,10000,2400,2,137161,4332348
4,10000,2400,3,179278,6059465
4,10000,2400,4,222143,7096145
4,10000,2500,0,52304,1704399
4,10000,2500,1,94708,2992687
4,10000,2500,2,137390,4384688
4,10000,2500,3,179654,5705565
4,10000,2500,4,221866,6978178
4,10000,2600,0,52930,1705418
4,10000,2600,1,95492,3053250
4,10000,2600,2,137731,4716910
4,10000,2600,3,180476,5679059
4,10000,2600,4,222917,7092866
4,10000,2700,0,53466,1645301
4,10000,2700,1,94169,2860553
4,10000,2700,2,133939,4035995
4,10000,2700,3,175493,5287992
4,10000,2700,4,219844,6885931
4,10000,2800,0,53572,1747092
4,10000,2800,1,95931,3052633
4,10000,2800,2,138647,4585063
4,10000,2800,3,181108,6276390
4,10000,2800,4,223583,7052296
4,10000,2900,0,54168,1753485
4,10000,2900,1,96625,3086263
4,10000,2900,2,139083,4706445
4,10000,2900,3,181556,5739375
4,10000,2900,4,224070,7105964
4,10000,3000,0,54341,1790456
4,10000,3000,1,96825,3073571
4,10000,3000,2,138996,4409126
4,10000,3000,3,181661,5785812
4,10000,3000,4,223964,7077373
2,100000,100,0,434394,15554474
2,100000,100,1,871421,30704973
2,100000,100,2,1309158,46953091
2,100000,100,3,1763834,66309532
2,100000,100,4,2206034,89221105
2,100000,200,0,436009,15251273
2,100000,200,1,882822,30695279
2,100000,200,2,1320616,45965186
2,100000,200,3,1744816,62957282
2,100000,200,4,2227317,84137382
2,100000,300,0,449688,15577403
2,100000,300,1,888358,30919473
2,100000,300,2,1334955,46527673
2,100000,300,3,1789937,62598905
2,100000,300,4,2202955,76238516
2,100000,400,0,444700,15533351
2,100000,400,1,891946,30475311
2,100000,400,2,1326181,45987886
2,100000,400,3,1768743,62198799
2,100000,400,4,2215322,76727800
2,100000,500,0,449860,15200586
2,100000,500,1,896310,41938463
2,100000,500,2,1332389,45901665
2,100000,500,3,1770899,60985267
2,100000,500,4,2220913,77227362
2,100000,600,0,439173,15466301
2,100000,600,1,884884,32506347
2,100000,600,2,1335784,50214914
2,100000,600,3,1756103,64515549
2,100000,600,4,2202076,85775679
2,100000,700,0,443103,14949670
2,100000,700,1,889196,34750278
2,100000,700,2,1341278,53799657
2,100000,700,3,1759171,62905584
2,100000,700,4,2214029,84606090
2,100000,800,0,449667,17408619
2,100000,800,1,899853,31789662
2,100000,800,2,1335707,51017052
2,100000,800,3,1764000,66888164
2,100000,800,4,2230645,84242497
2,100000,900,0,449824,19671238
2,100000,900,1,895457,31902438
2,100000,900,2,1333163,49106586
2,100000,900,3,1780952,66213035
2,100000,900,4,2216494,79143435
2,100000,1000,0,441233,15182311
2,100000,1000,1,878434,30276415
2,100000,1000,2,1319319,46865116
2,100000,1000,3,1768561,70803732
2,100000,1000,4,2198809,93542523
2,100000,1100,0,441208,15654488
2,100000,1100,1,877859,33584131
2,100000,1100,2,1310117,49217077
2,100000,1100,3,1776040,63420424
2,100000,1100,4,2213286,81482363
2,100000,1200,0,441360,15712629
2,100000,1200,1,886276,30508319
2,100000,1200,2,1325542,45970476
2,100000,1200,3,1775317,61331297
2,100000,1200,4,2220645,84884418
2,100000,1300,0,454137,17264268
2,100000,1300,1,891559,31886715
2,100000,1300,2,1300234,48171061
2,100000,1300,3,1794946,65542230
2,100000,1300,4,2203498,77355457
2,100000,1400,0,442820,15752201
2,100000,1400,1,889972,31384772
2,100000,1400,2,1332711,48676399
2,100000,1400,3,1775214,66313783
2,100000,1400,4,2196667,80280117
2,100000,1500,0,456120,15730212
2,100000,1500,1,891640,33071604
2,100000,1500,2,1335970,45955649
2,100000,1500,3,1780994,66212240
2,100000,1500,4,2217502,80517504
2,100000,1600,0,448350,17025695
2,100000,1600,1,898157,36564349
2,100000,1600,2,1345185,49813522
2,100000,1600,3,1768646,60191354
2,100000,1600,4,2206873,75437993
2,100000,1700,0,440836,15537645
2,100000,1700,1,887884,35812937
2,100000,1700,2,1329316,47065026
2,100000,1700,3,1760891,67194775
2,100000,1700,4,2205419,76752025
2,100000,1800,0,447003,15090657
2,100000,1800,1,883232,29352981
2,100000,1800,2,1324572,44439304
2,100000,1800,3,1763484,59068406
2,100000,1800,4,2224962,73836105
2,100000,1900,0,451191,14689617
2,100000,1900,1,898359,29726197
2,100000,1900,2,1333135,44410969
2,100000,1900,3,1771565,59609408
2,100000,1900,4,2231429,74168833
2,100000,2000,0,441686,14748682
2,100000,2000,1,881674,29588536
2,100000,2000,2,1321497,44777373
2,100000,2000,3,1765397,60011600
2,100000,2000,4,2200766,74605559
2,100000,2100,0,455621,16255930
2,100000,2100,1,892831,29750825
2,100000,2100,2,1333931,44612632
2,100000,2100,3,1766623,60020512
2,100000,2100,4,2224874,74310361
2,100000,2200,0,454416,14948255
2,100000,2200,1,904103,29720752
2,100000,2200,2,1332692,44226256
2,100000,2200,3,1787435,59192861
2,100000,2200,4,2214207,72967214
2,100000,2300,0,451135,15207718
2,100000,2300,1,887312,30222647
2,100000,2300,2,1337620,44534851
2,100000,2300,3,1784770,59700710
2,100000,2300,4,2214450,74114344
2,100000,2400,0,459041,15176428
2,100000,2400,1,895029,29623135
2,100000,2400,2,1346651,44256816
2,100000,2400,3,1774997,59688927
2,100000,2400,4,2215737,73347946
2,100000,2500,0,449785,14713720
2,100000,2500,1,886212,29570808
2,100000,2500,2,1344979,45111236
2,100000,2500,3,1777031,59674767
2,100000,2500,4,2222133,74459590
2,100000,2600,0,450130,15757672
2,100000,2600,1,889660,30681441
2,100000,2600,2,1346747,45501622
2,100000,2600,3,1784353,60031372
2,100000,2600,4,2220782,74322973
2,100000,2700,0,447762,15040094
2,100000,2700,1,884633,29716923
2,100000,2700,2,1329601,44137804
2,100000,2700,3,1792692,59733505
2,100000,2700,4,2224813,74724856
2,100000,2800,0,451117,15270487
2,100000,2800,1,887024,30066417
2,100000,2800,2,1335229,44024683
2,100000,2800,3,1774198,59283909
2,100000,2800,4,2204250,75462029
2,100000,2900,0,461890,15222781
2,100000,2900,1,897429,29679704
2,100000,2900,2,1357425,45624871
2,100000,2900,3,1804070,59089518
2,100000,2900,4,2239211,74348135
2,100000,3000,0,451630,15063766
2,100000,3000,1,900589,29826822
2,100000,3000,2,1334423,44813758
2,100000,3000,3,1778998,59397059
2,100000,3000,4,2215218,74171885
4,100000,100,0,425184,12956403
4,100000,100,1,850256,25886825
4,100000,100,2,1274930,40867031
4,100000,100,3,1673181,57406424
4,100000,100,4,2122179,65601601
4,100000,200,0,425572,12902050
4,100000,200,1,849865,25676959
4,100000,200,2,1275478,39114265
4,100000,200,3,1698657,51449679
4,100000,200,4,2100536,83035625
4,100000,300,0,424586,12833605
4,100000,300,1,848781,25507828
4,100000,300,2,1274733,38602396
4,100000,300,3,1699423,51656752
4,100000,300,4,2123847,65168444
4,100000,400,0,426289,12663734
4,100000,400,1,849889,25556445
4,100000,400,2,1274865,38707162
4,100000,400,3,1700924,51229722
4,100000,400,4,2122956,63841511
4,100000,500,0,426967,12841112
4,100000,500,1,852147,25766060
4,100000,500,2,1277086,38461918
4,100000,500,3,1700145,51450908
4,100000,500,4,2126173,64164511
4,100000,600,0,425772,12914924
4,100000,600,1,850834,25530441
4,100000,600,2,1275740,38633946
4,100000,600,3,1698590,51380813
4,100000,600,4,2124334,64331800
4,100000,700,0,426318,12848724
4,100000,700,1,849724,25806761
4,100000,700,2,1276559,39445088
4,100000,700,3,1701313,51168746
4,100000,700,4,2125884,64109739
4,100000,800,0,426600,12846826
4,100000,800,1,851380,25609657
4,100000,800,2,1276507,38400082
4,100000,800,3,1701521,51433576
4,100000,800,4,2125658,64843741
4,100000,900,0,428659,13097111
4,100000,900,1,853720,26275709
4,100000,900,2,1277119,39327334
4,100000,900,3,1702978,51576603
4,100000,900,4,2125272,64646420
4,100000,1000,0,428688,12947053
4,100000,1000,1,852199,25916275
4,100000,1000,2,1278423,38574473
4,100000,1000,3,1701986,52207766
4,100000,1000,4,2125090,66110010
4,100000,1100,0,429578,12952972
4,100000,1100,1,853880,26146964
4,100000,1100,2,1279606,38788888
4,100000,1100,3,1703258,51273158
4,100000,1100,4,2129799,64283597
4,100000,1200,0,428400,13022855
4,100000,1200,1,853335,25777032
4,100000,1200,2,1276585,38852295
4,100000,1200,3,1701640,51573715
4,100000,1200,4,2127247,64955327
4,100000,1300,0,428800,12839617
4,100000,1300,1,852268,25655442
4,100000,1300,2,1277083,38405251
4,100000,1300,3,1703416,51304543
4,100000,1300,4,2128578,64619908
4,100000,1400,0,430003,13050239
4,100000,1400,1,854752,26316925
4,100000,1400,2,1279799,39708961
4,100000,1400,3,1704428,51768710
4,100000,1400,4,2127540,64002513
4,100000,1500,0,430038,12924053
4,100000,1500,1,855098,26058416
4,100000,1500,2,1278933,38625211
4,100000,1500,3,1704652,51888115
4,100000,1500,4,2125558,64726981
4,100000,1600,0,431584,13011712
4,100000,1600,1,856365,25882150
4,100000,1600,2,1278524,38413841
4,100000,1600,3,1704587,52141982
4,100000,1600,4,2131666,64792445
4,100000,1700,0,431545,12915857
4,100000,1700,1,855772,25867483
4,100000,1700,2,1281279,38660338
4,100000,1700,3,1704591,52319886
4,100000,1700,4,2131662,65111389
4,100000,1800,0,431870,13015504
4,100000,1800,1,856543,25960617
4,100000,1800,2,1278328,38565924
4,100000,1800,3,1705112,52298494
4,100000,1800,4,2130138,64895042
4,100000,1900,0,432002,13069006
4,100000,1900,1,856384,25747987
4,100000,1900,2,1282097,39184805
4,100000,1900,3,1706824,52016294
4,100000,1900,4,2132021,64650844
4,100000,2000,0,431231,13055038
4,100000,2000,1,856406,25836761
4,100000,2000,2,1281563,39463204
4,100000,2000,3,1704202,51682270
4,100000,2000,4,2129897,64271316
4,100000,2100,0,432069,13221886
4,100000,2100,1,857239,26051447
4,100000,2100,2,1282282,39599835
4,100000,2100,3,1705061,51524243
4,100000,2100,4,2131447,65309975
4,100000,2200,0,433462,13574641
4,100000,2200,1,856976,26081974
4,100000,2200,2,1281851,39966600
4,100000,2200,3,1708122,52471091
4,100000,2200,4,2130708,64789797
4,100000,2300,0,432868,13208072
4,100000,2300,1,857811,26246855
4,100000,2300,2,1282678,39153531
4,100000,2300,3,1706011,52066335
4,100000,2300,4,2130382,65144195
4,100000,2400,0,434473,13087872
4,100000,2400,1,859433,26029096
4,100000,2400,2,1284715,38966049
4,100000,2400,3,1709235,52048190
4,100000,2400,4,2133461,64560805
4,100000,2500,0,434760,13226694
4,100000,2500,1,858793,25930920
4,100000,2500,2,1284689,39130911
4,100000,2500,3,1708929,51993660
4,100000,2500,4,2134265,64998732
4,100000,2600,0,435344,13350937
4,100000,2600,1,860209,26136437
4,100000,2600,2,1283881,39437993
4,100000,2600,3,1708349,51735592
4,100000,2600,4,2132279,65114199
4,100000,2700,0,435565,13287279
4,100000,2700,1,860245,26357099
4,100000,2700,2,1283592,38715458
4,100000,2700,3,1708894,51834023
4,100000,2700,4,2135509,64764172
4,100000,2800,0,436170,13419032
4,100000,2800,1,861351,26074037
4,100000,2800,2,1286194,38878730
4,100000,2800,3,1709494,51676861
4,100000,2800,4,2131603,64828825
4,100000,2900,0,436000,13120902
4,100000,2900,1,860543,25993580
4,100000,2900,2,1286242,38914715
4,100000,2900,3,1710302,51667342
4,100000,2900,4,2132296,64496521
4,100000,3000,0,436388,13204221
4,100000,3000,1,861343,26445713
4,100000,3000,2,1286229,38923672
4,100000,3000,3,1710552,51955934
4,100000,3000,4,2134812,64492598
